SPACE,Inst.bmp,,Insructions
/,Brittney,gg,gg1
/,Elizabeth,gg,gg2
/,Paula,gg,gg3
/,Grace,gg,gg4
/,Charlotte,gg,gg5
/,Joanne,gg,gg6
/,Heather,gg,gg7
/,Eve,gg,gg8
/,Penny,gg,gg9
/,Christina,gg,gg10
/,Daniella,gg,gg11
/,Hailey,gg,gg12
/,Alexandra,gg,gg13
/,Cindy,gg,gg14
/,Brianna,gg,gg15
/,Scarlett,gg,gg16
/,Olivia,gg,gg17
/,Bella,gg,gg18
/,Lucy,gg,gg19
/,Michelle,gg,gg20
/,Samantha,gg,gg21
/,Alice,gg,gg22
/,Joy,gg,gg23
/,Lillian,gg,gg24
Z,David,gb,gb1
Z,Clark,gb,gb2
Z,Josh,gb,gb3
Z,Richard,gb,gb4
Z,Bobby,gb,gb5
Z,Erik,gb,gb6
Z,Stephen,gb,gb7
/,Oliver,gb,gb8
Z,Victor,gb,gb9
Z,Lucas,gb,gb10
Z,Hector,gb,gb11
Z,Michael,gb,gb12
Z,Edward,gb,gb13
Z,Scott,gb,gb14
Z,Marc,gb,gb15
Z,Samuel,gb,gb16
Z,Mike,gb,gb17
/,William,gb,gb18
Z,Timothy,gb,gb19
Z,Daniel,gb,gb20
Z,Lance,gb,gb21
Z,Jack,gb,gb22
Z,Anthony,gb,gb23
Z,Harold,gb,gb24
/,Kaitlyn,bg,bg1
/,Isabella,bg,bg2
/,Nicole,bg,bg3
/,Anna,bg,bg4
/,Jill,bg,bg5
/,Stephanie,bg,bg6
/,Wendy,bg,bg7
/,Layla,bg,bg8
/,Natalie,bg,bg9
/,Diana,bg,bg10
/,Emma,bg,bg11
/,Mary,bg,bg12
/,Kaylee,bg,bg13
/,Tamara,bg,bg14
/,Victoria,bg,bg15
/,Sarah,bg,bg16
/,Claire,bg,bg17
/,Gabriella,bg,bg18
/,Amelia,bg,bg19
/,Alyssa,bg,bg20
/,Rihanna,bg,bg21
/,Tiffany,bg,bg22
Z,Rachel,bg,bg23
Z,Carmen,bg,bg24
Z,Ryan,bb,bb1
Z,Gabe,bb,bb2
Z,Brett,bb,bb3
Z,Arthur,bb,bb4
Z,Carl,bb,bb5
Z,John,bb,bb6
Z,Kelvin,bb,bb7
Z,Kyle,bb,bb8
Z,Charles,bb,bb9
Z,Isaac,bb,bb10
Z,Alexander,bb,bb11
Z,Thomas,bb,bb12
Z,Brian,bb,bb13
Z,Liam,bb,bb14
Z,Peter,bb,bb15
Z,Andrew,bb,bb16
Z,Nicholas,bb,bb17
Z,Christian,bb,bb18
Z,Simon,bb,bb19
Z,Paul,bb,bb20
Z,Gary,bb,bb21
Z,Ethan,bb,bb22
Z,Adam,bb,bb23
Z,Cameron,bb,bb24
2,rec.bmp,,recognize
2,sex.bmp,,sex
East African,Please indicate your race:,,race
19 years old,Please indicate your age:,,age
0,Please indicate how much exposure you have to children in a typical week in hours:,,exposure
SPACE,debrief.bmp,,debrief
