"Insructions","gg1","gg2","gg3","gg4","gg5","gg6","gg7","gg8","gg9","gg10","gg11","gg12","gg13","gg14","gg15","gg16","gg17","gg18","gg19","gg20","gg21","gg22","gg23","gg24","gb1","gb2","gb3","gb4","gb5","gb6","gb7","gb8","gb9","gb10","gb11","gb12","gb13","gb14","gb15","gb16","gb17","gb18","gb19","gb20","gb21","gb22","gb23","gb24","bg1","bg2","bg3","bg4","bg5","bg6","bg7","bg8","bg9","bg10","bg11","bg12","bg13","bg14","bg15","bg16","bg17","bg18","bg19","bg20","bg21","bg22","bg23","bg24","bb1","bb2","bb3","bb4","bb5","bb6","bb7","bb8","bb9","bb10","bb11","bb12","bb13","bb14","bb15","bb16","bb17","bb18","bb19","bb20","bb21","bb22","bb23","bb24","recognize","sex","race","age","exposure","debrief","file.id"
"28311","553","919","643","909","644","719","880","1372","1575","781","594","663","715","815","527","734","646","1139","2448","904","595","884","950","634","640","756","702","601","834","778","875","636","1528","952","1200","578","660","861","601","673","712","550","596","670","685","572","739","654","562","748","717","538","755","658","613","1291","640","571","572","552","1023","683","671","665","667","730","606","628","1330","576","1306","7403","678","909","608","722","650","522","579","482","478","603","888","563","507","751","544","660","663","849","623","625","602","589","600","3378","2","2","East African","19","0","SPACE","5480"
"44991","623","697","645","566","694","634","606","1717","897","649","742","647","567","617","597","763","682","663","557","572","615","695","727","663","688","747","505","782","628","601","633","647","779","584","563","589","542","596","575","499","596","799","677","624","699","780","575","559","680","625","663","720","655","602","680","690","741","811","658","647","819","684","658","920","581","735","421","935","643","1039","1184","572","812","632","725","615","612","730","571","501","641","533","534","624","602","571","590","932","797","544","638","519","664","514","596","592","2","2","South Asian","25","0","SPACE","5481"
"15682","621","708","989","731","640","1851","861","724","702","562","1783","567","613","831","954","1041","1094","626","498","572","641","889","965","656","1009","1037","1711","862","582","630","703","668","1554","863","830","983","588","648","818","1200","901","714","772","585","584","1201","660","560","817","563","884","588","1139","807","939","630","772","1066","912","606","779","853","1029","1096","743","1177","703","838","929","635","772","1652","1212","645","1026","606","564","621","1065","1329","523","1079","798","648","643","640","696","699","1452","674","675","861","572","637","551","703","2","2","Chinese","24","0","SPACE","5493"
"20997","510","488","587","474","858","524","459","462","439","554","565","443","715","624","540","553","537","459","448","569","812","647","643","505","498","690","639","467","619","527","693","476","520","490","495","403","447","600","503","547","510","564","488","428","506","543","589","530","492","526","1019","471","518","480","768","500","657","456","445","528","508","512","510","856","683","741","526","519","651","537","582","600","499","531","441","479","561","559","579","493","467","658","547","581","676","421","499","433","546","476","607","479","505","464","500","479","2","2","Chinese","18","4","","5507"
"18144","620","1909","1479","878","1119","640","888","1160","733","973","640","677","858","629","862","716","2252","831","640","1099","704","567","914","883","612","564","1460","844","551","1132","1790","877","813","564","544","681","980","3052","557","963","2808","854","882","4813","559","674","533","770","970","760","2189","1657","723","3256","750","644","647","1025","658","2773","646","1054","864","1176","908","940","587","689","891","1083","694","680","3563","558","1087","980","1257","565","559","543","837","614","867","505","564","558","535","577","548","679","702","505","611","6668","573","840","2","2","Asian","24","1","SPACE","5509"
"8864","547","642","637","535","378","710","528","452","395","685","6882","1273","581","231","653","412","351","417","517","853","880","832","376","688","605","981","500","659","817","1494","830","2722","344","1112","782","567","432","481","538","908","222","810","558","403","673","912","775","572","1064","1699","717","512","575","1083","2518","370","2236","1226","1001","502","750","650","436","384","515","869","367","453","972","364","270","547","469","730","605","664","389","821","512","486","383","689","2463","367","274","309","509","672","838","788","529","465","325","412","364","1901","1","2","brown","18","16","SPACE","5517"
"11401","1156","1395","1032","3672","1501","1850","1155","1376","1370","1235","1443","1652","1804","1632","1167","997","1429","1512","1306","1085","1574","1107","3030","1824","1465","746","692","634","675","1203","1504","725","1170","1136","1626","1459","884","847","1085","984","748","885","704","1118","1650","1421","1291","831","1428","1573","1305","1242","718","1402","1107","1736","1464","1606","1339","1614","1828","1212","1211","1241","1736","1341","1276","1310","1707","1362","1563","2707","576","1084","1096","854","962","1078","834","729","2160","1109","1069","871","876","817","690","845","1753","979","1106","1072","835","822","651","679","2","2","east asian","27","0","SPACE","5521"
"20999","724","630","696","694","710","1466","798","563","1003","567","805","730","934","623","755","1047","1069","1336","860","676","637","837","985","682","1016","1095","1801","1004","640","776","627","1341","1367","794","941","884","1032","698","879","597","585","1139","777","973","793","1251","809","1138","707","668","703","786","739","1020","763","604","905","692","899","758","672","742","906","770","923","744","647","2088","652","771","1660","771","1202","1066","989","837","716","774","971","679","731","679","802","746","2762","686","986","742","801","709","1394","1889","669","1017","1053","1100","1","2","Indian","26","1","SPACE","5569"
"12795","590","767","894","771","732","1119","582","639","763","725","1229","1463","679","1041","727","632","815","655","706","771","927","575","769","858","616","775","638","445","1362","964","990","801","1678","584","902","673","880","626","891","801","787","593","1059","613","748","665","766","1115","766","1404","822","765","535","1129","643","816","1179","893","1348","773","601","1821","751","1510","761","748","599","691","697","605","559","859","826","1349","889","868","848","655","711","1166","740","726","1022","567","609","675","1947","725","1207","880","761","1102","853","841","586","1126","2","2","chinese","29","1","SPACE","5578"
"6635","782","741","899","1299","1186","1121","791","555","748","825","1204","1128","976","2123","915","872","2327","961","737","884","679","1046","1037","609","736","1561","860","1125","1695","1181","736","1112","650","630","957","922","1470","784","627","560","450","1050","857","812","1096","637","581","688","700","965","833","1389","734","583","1798","1586","947","893","996","1077","949","884","729","964","1030","919","787","944","1242","738","732","948","698","661","584","821","774","1245","679","651","1096","686","1686","629","1052","940","983","873","712","715","1083","747","684","669","2489","1115","2","2","Asian","21","0","","5586"
"15718","1638","618","658","406","2321","741","793","675","1549","1115","908","1700","1287","2548","598","2482","698","1101","605","824","1050","3771","2141","784","553","694","732","1136","513","479","554","543","3623","695","648","684","673","607","931","930","1236","688","536","637","1052","834","590","452","1000","674","755","958","643","824","673","582","1619","990","643","1864","1682","705","627","790","1531","1198","722","649","659","760","1147","1686","1028","731","475","3091","1777","1648","487","668","541","975","609","936","1088","1208","983","1318","3214","810","792","740","562","3193","612","524","2","2","black","22","30","","5591"
"7687","996","1717","755","673","948","794","1227","738","1160","551","1040","591","734","802","1123","763","822","877","982","1226","586","906","682","723","691","656","734","779","1011","673","738","862","888","839","1327","1729","663","1953","736","747","803","867","524","655","835","1219","725","569","1224","934","708","887","696","831","709","744","1274","2564","944","974","1477","890","609","872","898","661","1319","907","955","918","1029","960","664","1423","765","1408","1029","792","870","937","844","972","845","897","3008","985","703","666","1409","699","609","1410","844","1791","820","832","2","2","white","29","0","SPACE","5619"
