Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8796,1,1,1,1,e,57,SPACE,Inst,25692,TRUE,
8796,1,1,2,87,gg,53,/,Carmen,1115,TRUE,
8796,1,1,3,28,gg,53,/,Elizabeth,1169,TRUE,
8796,1,1,4,42,gg,53,/,Gabriella,601,TRUE,
8796,1,1,5,14,gg,53,/,Christina,1005,TRUE,
8796,1,1,6,3,gg,53,/,Natalie,1283,TRUE,
8796,1,1,7,56,gg,53,/,Anna,533,TRUE,
8796,1,1,8,16,gg,53,/,Wendy,854,TRUE,
8796,1,1,9,2,gg,53,/,Alice,2602,TRUE,
8796,1,1,10,68,gg,53,/,Kaitlyn,2776,TRUE,
8796,1,1,11,89,gg,53,/,Stephanie,2119,TRUE,
8796,1,1,12,24,gg,53,/,Mia,781,TRUE,
8796,1,1,13,81,gg,53,/,Charlotte,673,TRUE,
8796,1,1,14,29,gg,53,/,Olivia,688,TRUE,
8796,1,1,15,11,gg,53,/,Sarah,853,TRUE,
8796,1,1,16,23,gg,53,/,Daniella,1514,TRUE,
8796,1,1,17,84,gg,53,/,Nicole,833,TRUE,
8796,1,1,18,74,gg,53,/,Joy,876,TRUE,
8796,1,1,19,77,gg,53,/,Paula,1638,TRUE,
8796,1,1,20,55,gg,53,/,Scarlett,1588,TRUE,
8796,1,1,21,91,gg,53,/,Erica,598,TRUE,
8796,1,1,22,8,gg,53,/,Cindy,1035,TRUE,
8796,1,1,23,4,gg,53,/,Heather,944,TRUE,
8796,1,1,24,76,gg,53,/,Alexandra,683,TRUE,
8796,1,1,25,45,gg,53,/,Diana,878,TRUE,
8796,1,1,26,25,gb,44,Z,Adam,813,TRUE,
8796,1,1,27,30,gb,44,Z,Arthur,1413,TRUE,
8796,1,1,28,35,gb,44,Z,Erik,665,TRUE,
8796,1,1,29,9,gb,44,Z,Peter,1265,TRUE,
8796,1,1,30,39,gb,44,Z,Evan,1128,TRUE,
8796,1,1,31,69,gb,44,Z,Brett,809,TRUE,
8796,1,1,32,96,gb,44,Z,Gabe,1307,TRUE,
8796,1,1,33,38,gb,44,Z,Brian,1501,TRUE,
8796,1,1,34,51,gb,44,Z,Simon,915,TRUE,
8796,1,1,35,17,gb,44,Z,Paul,914,TRUE,
8796,1,1,36,48,gb,44,Z,Richard,653,TRUE,
8796,1,1,37,31,gb,44,Z,Timothy,732,TRUE,
8796,1,1,38,41,gb,44,Z,Daniel,776,TRUE,
8796,1,1,39,6,gb,44,Z,Stephen,1097,TRUE,
8796,1,1,40,52,gb,44,Z,Oliver,822,TRUE,
8796,1,1,41,26,gb,44,Z,Kyle,1468,TRUE,
8796,1,1,42,85,gb,44,Z,Ryan,1104,TRUE,
8796,1,1,43,19,gb,44,Z,Anthony,702,TRUE,
8796,1,1,44,88,gb,44,Z,Alexander,974,TRUE,
8796,1,1,45,64,gb,44,Z,Nicholas,2176,TRUE,
8796,1,1,46,67,gb,44,Z,Samuel,858,TRUE,
8796,1,1,47,46,gb,44,Z,Nathan,2059,TRUE,
8796,1,1,48,62,gb,44,Z,Thomas,1008,TRUE,
8796,1,1,49,75,gb,44,Z,Carl,1345,TRUE,
8796,1,1,52,40,bg,53,/,Michelle,659,TRUE,
8796,1,1,53,49,bg,53,/,Lucy,1130,TRUE,
8796,1,1,54,13,bg,53,/,Rihanna,1148,TRUE,
8796,1,1,55,59,bg,53,/,Claire,1420,TRUE,
8796,1,1,56,90,bg,53,/,Tiffany,1082,TRUE,
8796,1,1,57,66,bg,53,/,Grace,1011,TRUE,
8796,1,1,58,37,bg,53,/,Kaylee,698,TRUE,
8796,1,1,59,82,bg,53,/,Emma,596,TRUE,
8796,1,1,60,80,bg,53,/,Layla,751,TRUE,
8796,1,1,61,33,bg,53,/,Brittney,834,TRUE,
8796,1,1,62,21,bg,53,/,Brianna,722,TRUE,
8796,1,1,63,10,bg,53,/,Hailey,830,TRUE,
8796,1,1,64,43,bg,53,/,Samantha,568,TRUE,
8796,1,1,65,71,bg,53,/,Victoria,797,TRUE,
8796,1,1,66,15,bg,53,/,Rachel,765,TRUE,
8796,1,1,67,47,bg,53,/,Eve,1489,TRUE,
8796,1,1,68,95,bg,53,/,Jill,1062,TRUE,
8796,1,1,69,61,bg,53,/,Amelia,693,TRUE,
8796,1,1,70,27,bg,53,/,Mary,761,TRUE,
8796,1,1,71,58,bg,53,/,Bella,796,TRUE,
8796,1,1,72,53,bg,53,/,Isabella,581,TRUE,
8796,1,1,73,86,bg,53,/,Lillian,771,TRUE,
8796,1,1,74,92,bg,53,/,Alyssa,670,TRUE,
8796,1,1,75,32,bg,53,/,Joanne,2054,TRUE,
8796,1,1,76,63,bb,53,/,Ethan,592,FALSE,
8796,1,1,77,83,bb,44,Z,Cameron,853,TRUE,
8796,1,1,78,79,bb,44,Z,Lucas,641,TRUE,
8796,1,1,79,22,bb,44,Z,Andrew,836,TRUE,
8796,1,1,80,18,bb,44,Z,Jack,749,TRUE,
8796,1,1,81,36,bb,44,Z,Liam,686,TRUE,
8796,1,1,82,20,bb,44,Z,John,610,TRUE,
8796,1,1,83,7,bb,44,Z,Clark,1245,TRUE,
8796,1,1,84,94,bb,44,Z,Josh,523,TRUE,
8796,1,1,85,60,bb,44,Z,Scott,739,TRUE,
8796,1,1,86,50,bb,44,Z,Kelvin,1204,TRUE,
8796,1,1,87,93,bb,44,Z,Harold,937,TRUE,
8796,1,1,88,97,bb,44,Z,David,1367,TRUE,
8796,1,1,89,73,bb,44,Z,Victor,1005,TRUE,
8796,1,1,90,54,bb,44,Z,Charles,597,TRUE,
8796,1,1,91,70,bb,44,Z,Michael,1248,TRUE,
8796,1,1,92,12,bb,44,Z,Bobby,921,TRUE,
8796,1,1,93,57,bb,44,Z,Edward,1246,TRUE,
8796,1,1,94,78,bb,44,Z,Gary,676,TRUE,
8796,1,1,95,72,bb,44,Z,Isaac,772,TRUE,
8796,1,1,96,44,bb,44,Z,Mike,633,TRUE,
8796,1,1,97,65,bb,44,Z,Christian,1304,TRUE,
8796,1,1,98,34,bb,44,Z,Lance,1594,TRUE,
8796,1,1,99,5,bb,44,Z,Hector,1186,TRUE,
8796,1,1,100,98,e,3,2,rec,4510,FALSE,
8796,1,1,101,99,e,2,1,sex,1830,TRUE,
8796,1,1,103,100,e,-1,caucasian,Please indicate your race:,19205,TRUE,
8796,1,1,103,101,e,-1,17,Please indicate your age:,3616,TRUE,
8796,1,1,104,102,e,-1,0,Please indicate how much exposure you have to children in a typical week in hours:,18379,TRUE,
