"Insructions","gg1","gg2","gg3","gg4","gg5","gg6","gg7","gg8","gg9","gg10","gg11","gg12","gg13","gg14","gg15","gg16","gg17","gg18","gg19","gg20","gg21","gg22","gg23","gg24","gb1","gb2","gb3","gb4","gb5","gb6","gb7","gb8","gb9","gb10","gb11","gb12","gb13","gb14","gb15","gb16","gb17","gb18","gb19","gb20","gb21","gb22","gb23","gb24","bg1","bg2","bg3","bg4","bg5","bg6","bg7","bg8","bg9","bg10","bg11","bg12","bg13","bg14","bg15","bg16","bg17","bg18","bg19","bg20","bg21","bg22","bg23","bg24","bb1","bb2","bb3","bb4","bb5","bb6","bb7","bb8","bb9","bb10","bb11","bb12","bb13","bb14","bb15","bb16","bb17","bb18","bb19","bb20","bb21","bb22","bb23","bb24","recognize","sex","race","age","exposure","debrief","file.id"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","East African","19","0","SPACE","5480"
"SPACE","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","2","2","South Asian","25","0","SPACE","5481"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","Z","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","Z","Z","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","Chinese","24","0","SPACE","5493"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","Z","/","/","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","Chinese","18","4","","5507"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","/","Z","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","/","Z","Z","/","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","/","2","2","Asian","24","1","SPACE","5509"
"SPACE","/","Z","/","/","/","Z","/","/","/","/","/","/","/","Z","/","/","Z","Z","/","/","/","/","Z","Z","Z","/","Z","Z","/","Z","/","Z","Z","Z","Z","Z","/","Z","/","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","Z","Z","/","/","/","/","/","/","Z","Z","/","Z","Z","Z","/","Z","/","Z","/","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","1","2","brown","18","16","SPACE","5517"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","east asian","27","0","SPACE","5521"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","Z","/","Z","Z","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","1","2","Indian","26","1","SPACE","5569"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","chinese","29","1","SPACE","5578"
"SPACE","/","/","/","/","Z","/","Z","/","/","Z","/","/","Z","/","Z","/","/","/","/","Z","/","/","/","/","Z","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","/","/","/","Z","Z","Z","Z","Z","Z","/","/","/","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","/","2","2","Asian","21","0","","5586"
"SPACE","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","black","22","30","","5591"
"SPACE","/","/","/","/","Z","/","/","/","/","Z","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","white","29","0","SPACE","5619"
